,newCasesByPublishDate,newDeathsByPublishDate,total_population_UK,cumDeathsByPublishDate,new_total_pop,percentage_new_case,percentage_new_death,MA_percentage_new_death,MA_percentage_new_case
2020/5/11,3877,203,66796807,32046.0,66764761.0,5.806955558486909e-05,3.0405261242528824e-06,6.34854817966497e-06,5.656551477894124e-05
2020/5/12,3403,681,66796807,32727.0,66764080.0,5.097052187343853e-05,1.0200095620279648e-05,5.897110634481637e-06,5.4235713380286936e-05
2020/5/13,3242,497,66796807,33224.0,66763583.0,4.855940700486371e-05,7.4441780633612786e-06,6.1881518966713866e-06,5.328386922709707e-05
2020/5/14,3446,400,66796807,33624.0,66763183.0,5.161527424478848e-05,5.991326087613288e-06,5.95921598563026e-06,5.2511754657005675e-05
2020/5/15,3560,405,66796807,34029.0,66762778.0,5.332312564944497e-05,6.06625446292843e-06,5.85866336405661e-06,4.9959317653461214e-05
2020/5/16,3451,462,66796807,34491.0,66762316.0,5.1690837088395794e-05,6.920071496620938e-06,5.629760595530457e-06,4.7839048050913983e-05
2020/5/17,3562,137,66796807,34628.0,66762179.0,5.3353561153239174e-05,2.052060044355353e-06,5.396559590225618e-06,4.6191643065253823e-05
2020/5/18,2684,156,66796807,34784.0,66762023.0,4.02024965600578e-05,2.3366577732373387e-06,5.240382827394572e-06,4.441370833281198e-05
2020/5/19,2412,574,66796807,35358.0,66761449.0,3.612863465560791e-05,8.597776240596575e-06,5.103463467388695e-06,4.3829801763398406e-05
2020/5/20,2472,388,66796807,35746.0,66761061.0,3.7027572105242605e-05,5.811771026227399e-06,4.699062919955387e-06,4.2777234779820795e-05
2020/5/21,2615,327,66796807,36073.0,66760734.0,3.916973111769562e-05,4.898088747795973e-06,5.334615673380539e-06,4.031024767888419e-05
2020/5/22,3287,341,66796807,36414.0,66760393.0,4.923577966354991e-05,5.10781894288729e-06,5.264012087404662e-06,3.804433131900958e-05
2020/5/23,2959,273,66796807,36687.0,66760120.0,4.432286820335254e-05,4.089267664587781e-06,4.34176116843963e-06,3.71714171723184e-05
2020/5/24,2409,434,66796807,37121.0,66759686.0,3.6084651446682956e-05,6.500929318331425e-06,4.448781722450654e-06,3.6189370570970985e-05
2020/5/25,1625,123,66796807,37244.0,66759563.0,2.434108204093547e-05,1.8424326714061925e-06,4.637116275523962e-06,3.463169971547792e-05
2020/5/26,2004,143,66796807,37387.0,66759420.0,3.0018235628769693e-05,2.14201980784135e-06,4.714177451784841e-06,3.208114795422607e-05
2020/5/27,2013,438,66796807,37825.0,66758982.0,3.0153245895810692e-05,6.5609149043045626e-06,4.63287917539964e-06,3.098143087933035e-05
2020/5/28,1887,415,66796807,38240.0,66758567.0,2.8266035129244162e-05,6.2164306193091294e-06,3.922447863089548e-06,2.9969385456783585e-05
2020/5/29,2095,377,66796807,38617.0,66758190.0,3.138191733478694e-05,5.647247176713449e-06,3.879656341999023e-06,2.9851783552631716e-05
2020/5/30,2445,235,66796807,38852.0,66757955.0,3.6624848679082516e-05,3.5201797298913665e-06,4.296954683504905e-06,2.901519432248246e-05
2020/5/31,1936,102,66796807,38954.0,66757853.0,2.900033348885561e-05,1.5279101321607812e-06,4.1514649027626176e-06,2.8711445730251624e-05
2020/6/1,1570,103,66796807,39057.0,66757750.0,2.3517868711872404e-05,1.5428920237725208e-06,3.6229169243541932e-06,2.8536071290582845e-05
2020/6/2,1613,338,66796807,39395.0,66757412.0,2.4162111017724893e-05,5.063108198382525e-06,3.5908376057547736e-06,2.7583895930109693e-05
2020/6/3,1871,370,66796807,39765.0,66757042.0,2.8027005750194864e-05,5.542486439108551e-06,3.5138107122942402e-06,2.5683722807695534e-05
2020/6/4,1805,168,66796807,39933.0,66756874.0,2.703841405156269e-05,2.516594770450156e-06,3.445336559965174e-06,2.4378433846689225e-05
2020/6/5,1650,362,66796807,40295.0,66756512.0,2.471668981147487e-05,5.422691946517518e-06,3.34262250787148e-06,2.3597418470280385e-05
2020/6/6,1557,199,66796807,40494.0,66756313.0,2.3323636822183393e-05,2.980991475667627e-06,3.252759270298087e-06,2.3113858642244637e-05
2020/6/7,1326,70,66796807,40564.0,66756243.0,1.9863310761811445e-05,1.0485910658573162e-06,3.006675797641467e-06,2.1256421875076046e-05
2020/6/8,1205,55,66796807,40619.0,66756188.0,1.805076107701057e-05,8.23893659116665e-07,2.959603116599645e-06,2.010303873267792e-05
2020/6/9,1387,296,66796807,40915.0,66755892.0,2.0777192221474623e-05,4.434065535368773e-06,2.617215333132888e-06,1.9869842075966227e-05
2020/6/10,1003,255,66796807,41170.0,66755637.0,1.502494838001471e-05,3.819902130512214e-06,2.5894028141188213e-06,1.9587420053489222e-05
2020/6/11,1266,146,66796807,41316.0,66755491.0,1.8964732054775838e-05,2.1870860031574032e-06,2.503804668644859e-06,1.998979341120626e-05
2020/6/12,1541,202,66796807,41518.0,66755289.0,2.3084313214493012e-05,3.0259774622502196e-06,2.4652863315103827e-06,1.967097486325166e-05
2020/6/13,1425,186,66796807,41704.0,66755103.0,2.1346682664844364e-05,2.786303842569159e-06,2.3475951907357056e-06,1.9439900595916505e-05
2020/6/14,1514,30,66796807,41734.0,66755073.0,2.2679924265830704e-05,4.49404047539578e-07,2.2042213184258132e-06,1.9679617546296173e-05
2020/6/15,1056,37,66796807,41771.0,66755036.0,1.581903124132837e-05,5.542652991753311e-07,2.167845407794279e-06,1.9576936818428154e-05
2020/6/16,1279,241,66796807,42012.0,66754795.0,1.9159672350128555e-05,3.6102275499460376e-06,2.1164907549676565e-06,1.9159677085744843e-05
2020/6/17,1115,188,66796807,42200.0,66754607.0,1.6702967032672367e-05,2.816285024342964e-06,1.9880934087716816e-06,1.8881513272921894e-05
2020/6/18,1218,129,66796807,42329.0,66754478.0,1.824596695969969e-05,1.932454628736667e-06,2.00949480561872e-06,1.8254524381008442e-05
2020/6/19,1346,178,66796807,42507.0,66754300.0,2.0163495085709835e-05,2.6664948924638563e-06,1.962414796456994e-06,1.804483053864184e-05
